Sample,Site,Date,Augochlora,Augochlorella,Agapostemon,Halitus,Sphecodes,Lasioglossum,Apis,Ceratina,Holcopasites,Hylaeus,Megachile,Heriades,Andrena
R36,WPR,7/10/19,1,0,0,0,0,0,0,0,0,0,0,0,0
R79,BFB,8/22/19,1,0,0,0,0,0,0,0,0,0,0,0,0
R81,BFB,8/22/19,1,0,0,0,0,0,0,0,0,0,0,0,0
R8,SSH,6/13/19,0,7,0,0,0,1,0,0,0,1,0,0,0
R7,SSH,6/13/19,0,1,0,0,0,0,0,0,0,0,0,0,0
R47,BFB,7/18/19,0,1,0,0,0,0,0,0,0,0,0,0,0
R40,SSH,7/18/19,0,3,0,0,0,0,0,0,0,0,0,0,0
R42,SSH,7/18/19,0,6,0,0,0,0,0,0,0,0,0,0,0
R99,CHA,8/14/19,0,1,0,0,0,0,0,0,0,0,0,0,0
R29,DAL,6/20/19,0,1,0,0,0,0,0,0,0,0,0,0,0
R41,SSH,7/18/19,0,5,0,0,0,0,0,0,0,0,0,0,0
R9,SSH,6/13/19,0,10,0,0,0,0,0,0,0,0,0,0,0
R62,DAL,7/25/19,0,1,0,0,0,1,0,0,0,0,0,0,0
R33,CHA,6/20/19,0,1,0,0,0,0,0,0,0,0,0,0,0
R75,SSH,8/22/19,0,1,0,0,0,0,0,0,0,0,0,0,0
R14,BFB,6/13/19,0,0,0,1,0,1,0,0,0,0,0,0,0
R4,WPR,6/5/19,0,0,0,0,1,0,0,0,0,0,0,0,0
R39,SNY,7/10/19,0,0,0,0,0,1,0,0,0,0,0,0,0
R15,BFB,6/13/19,0,0,0,0,0,3,0,0,0,0,0,0,0
R70,WPR,8/8/19,0,0,0,0,0,1,0,0,0,0,0,0,0
R61,DAL,7/25/19,0,0,0,0,0,1,0,0,0,0,0,0,0
R38,SNY,7/10/19,0,0,0,0,0,0,1,0,0,0,0,0,0
R45,DGM,7/18/19,0,0,0,0,0,0,0,0,1,0,0,0,0
R95,DAL,8/14/19,0,0,0,0,0,0,0,0,0,0,0,1,0
R11,DGM,6/13/19,0,0,0,0,0,0,0,0,0,0,0,0,1
