Sample,Site,Date,Augochlora pura,Augochlorella aurata,Agapostemon virescens,Halitus ligatus,Halictus confusus ,Sphecodes sp,Lasioglossum sp,Lasioglossum (Dialictus) sp,Lasioglossum illinoense,Lasioglossum coriaceum,Lasioglossum versatum,Lasioglossum imitatum,Lasioglossum tegulare,Lasioglossum bruneri,Lasioglossum coeruleum,Lasioglossum zonulum,Lasioglossum quebecense,Lasioglossum foxii,Lasioglossum cressonii,Apis mellifera,Ceratina calcarata,Holcopasites sp,Hylaeus sp,Megachile gemula,Heriades sp,Andrena sp
B22,DAL,6/20/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B25,BAL,6/20/2019,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B52,DAL,7/25/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
B80,DAL,8/14/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R29,DAL,6/20/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R33,CHA,6/20/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R62,DAL,7/25/2019,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R61,DAL,7/25/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R99,CHA,8/14/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R95,DAL,8/14/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
