Sample,Site,Date,Augochlora pura,Augochlorella aurata,Agapostemon virescens,Halitus ligatus,Halictus confusus ,Sphecodes sp,Lasioglossum sp,Lasioglossum (Dialictus) sp,Lasioglossum illinoense,Lasioglossum coriaceum,Lasioglossum versatum,Lasioglossum imitatum,Lasioglossum tegulare,Lasioglossum bruneri,Lasioglossum coeruleum,Lasioglossum zonulum,Lasioglossum quebecense,Lasioglossum foxii,Lasioglossum cressonii,Apis mellifera,Ceratina calcarata,Holcopasites sp,Hylaeus sp,Megachile gemula,Heriades sp,Andrena sp
B6,SNY,6/5/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B33,SNY,7/10/2019,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
B34,SNY,7/10/2019,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B61,SNY,8/8/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R39,SNY,7/10/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R38,SNY,7/10/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
B29,WLR,7/10/2019,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
B30,WLR,7/10/2019,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
B57,WLR,8/8/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B58,WLR,8/8/2019,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B31,WPR,7/10/2019,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
B32,WPR,7/10/2019,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B60,WPR,8/8/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,WPR,6/5/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R36,WPR,7/10/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R70,WPR,8/8/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
