Sample,Date,Site,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Trichoptera,Ephemeroptera,Zygentoma,Neuroptera
B1,6/5/2019,WLR,11,,0,0,0,0,0,0,0,0,0,0,0,0
B2,6/5/2019,WLR,8,,0,0,0,0,0,0,0,0,0,0,0,0
B3,6/5/2019,WPR,13,,0,0,0,0,0,0,0,0,0,0,0,0
B4,6/5/2019,WPR,10,,0,1,0,0,0,0,0,0,0,0,0,0
B5,6/5/2019,SNY,14,,0,0,0,0,0,0,0,0,0,0,0,0
B6,6/5/2019,SNY,25,,0,0,0,0,0,0,0,0,0,0,0,0
B7,6/13/2019,SSH,25,,0,0,0,0,0,0,0,0,0,0,0,0
B8,6/13/2019,SSH,31,,0,0,0,0,0,0,0,0,0,0,0,0
B9,6/13/2019,DGM,86,,0,0,0,0,0,0,0,0,0,0,0,0
B10,6/13/2019,DGM,56,,0,0,0,0,0,0,0,0,0,0,0,0
B11,6/13/2019,DGM,42,,0,0,0,0,0,0,0,0,0,0,0,0
B12,6/13/2019,BFB,41,,0,0,0,0,0,0,0,0,0,0,0,0
B13,6/13/2019,BFB,61,,0,0,0,1,0,0,0,0,0,0,0,0
B14,6/13/2019,BFB,28,,2,0,0,0,0,0,0,0,0,0,0,0
B22,6/20/2019,DAL,33,,0,0,0,0,0,0,0,0,0,0,0,0
B23,6/20/2019,DAL,12,,0,0,0,0,0,0,0,0,0,0,0,0
B24,6/20/2019,DAL,1,,0,0,0,0,0,0,0,0,0,0,0,0
B25,6/20/2019,BAL,29,,0,0,0,0,0,0,0,0,0,0,0,0
B26,6/20/2019,BAL,20,,1,0,0,1,0,0,0,0,0,0,0,0
B27,6/20/2019,CHA,13,,0,0,0,0,0,0,0,0,0,0,0,0
B28,6/20/2019,CHA,24,,0,1,0,1,0,0,0,0,0,0,0,0
B29,7/10/2019,WLR,9,,0,0,0,1,0,0,0,0,0,0,0,0
B30,7/10/2019,WLR,5,,0,0,0,0,0,0,0,0,0,0,0,0
B31,7/10/2019,WPR,17,,0,1,0,0,1,0,0,0,0,0,0,0
B32,7/10/2019,WPR,6,,0,1,0,0,0,0,0,0,0,0,0,0
B33,7/10/2019,SNY,6,,0,1,0,0,0,0,0,0,0,0,0,0
B34,7/10/2019,SNY,7,,1,2,0,0,0,0,0,0,0,0,0,0
B35,7/18/2019,SSH,19,,2,0,1,0,0,0,0,0,0,0,0,0
B36,7/18/2019,SSH,12,,3,0,0,0,1,0,0,0,0,0,0,0
B37,7/18/2019,SSH,16,,5,0,0,0,1,0,0,0,0,0,0,0
B38,7/18/2019,DGM,20,,0,0,1,0,0,0,0,0,0,0,0,0
B39,7/18/2019,DGM,9,,0,0,0,0,0,0,0,0,0,0,0,0
B40,7/18/2019,BFB,11,,1,0,1,0,0,0,0,0,0,0,0,0
B41,7/18/2019,BFB,23,,0,2,1,0,0,0,0,0,0,0,0,0
B42,7/18/2019,BFB,15,,0,7,0,0,1,0,0,0,0,0,0,0
B50,7/25/2019,DAL,51,,0,0,1,0,0,0,1,0,0,0,0,0
B51,7/25/2019,DAL,15,,0,1,2,1,1,0,0,0,0,0,0,0
B52,7/25/2019,DAL,28,,0,0,0,0,0,0,0,0,0,0,0,0
B53,7/25/2019,BAL,11,,0,0,0,0,0,0,0,0,0,0,0,0
B54,7/25/2019,BAL,29,,4,0,0,0,0,0,0,0,0,0,0,0
B55,7/25/2019,CHA,17,,0,0,2,0,0,0,0,0,0,0,0,0
B56,7/25/2019,CHA,12,,0,0,0,1,0,0,0,0,0,0,0,0
B57,8/8/2019,WLR,6,,0,0,0,0,0,0,0,0,0,0,0,0
B58,8/8/2019,WLR,2,,0,0,0,0,0,0,0,0,0,0,0,0
B59,8/8/2019,WPR,1,,0,0,0,0,0,0,0,0,0,0,0,0
B60,8/8/2019,WPR,1,,0,2,0,0,0,0,0,0,0,0,0,0
B61,8/8/2019,SNY,0,,0,0,0,0,0,0,0,0,0,0,0,0
B62,8/8/2019,SNY,1,,0,0,0,0,0,0,0,0,0,0,0,0
B63,8/22/2019,SSH,18,,1,1,1,0,0,0,0,0,0,0,0,0
B64,8/22/2019,SSH,8,,3,0,1,0,0,0,0,0,0,0,0,0
B65,8/22/2019,SSH,4,,1,0,0,0,0,0,0,0,0,0,0,0
B66,8/22/2019,DGM,10,,1,0,0,0,0,0,0,0,0,0,0,0
B67,8/22/2019,DGM,10,,1,0,0,0,0,0,0,0,0,0,0,0
B68,8/22/2019,DGM,10,,1,0,0,0,0,0,0,0,0,0,0,0
B69,8/22/2019,BFB,12,,5,2,0,0,0,0,0,0,0,0,0,0
B70,8/22/2019,BFB,14,,4,0,1,0,0,0,0,0,0,0,0,0
B71,8/22/2019,BFB,6,,4,0,0,0,0,0,0,0,0,0,0,0
B79,8/14/2019,DAL,8,,0,0,0,0,0,0,0,0,0,0,0,0
B80,8/14/2019,DAL,13,,0,0,0,0,0,0,0,0,0,0,0,0
B81,8/14/2019,DAL,66,,0,0,0,0,0,0,0,0,0,0,0,0
B82,8/14/2019,BAL,15,,2,0,0,1,1,0,0,0,0,0,0,0
B83,8/14/2019,BAL,15,,0,0,0,0,0,0,0,0,0,0,0,0
B84,8/14/2019,CHA,7,,0,0,1,0,0,0,0,0,0,0,0,0
B85,8/14/2019,CHA,10,,2,0,1,0,0,0,0,0,0,0,0,0
