Date,Site,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidea,Chalcidoidea,Wingless parasitoid,Pompilidae,Dryinidae,Chrysididae,Unknown wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Anthocoridae,Tingidae,Fulgoroidae,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Unknown Coleoptera,Elateridae,Buprestidae,Meloidae,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Symphyta,Trichoptera,Ephemeroptera,Lepismatidae,Neuroptera,abundance,standardized_abundance
6/5/2019,WLR,0,6,13,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33
6/5/2019,WPR,0,14,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,52.5
6/5/2019,SNY,0,8,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25.5
6/13/2019,SSH,30,64,7,20,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,131,196.5
6/13/2019,DGM,14,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,73.5
6/13/2019,BFB,13,67,0,5,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,98,147
6/20/2019,DAL,12,17,0,1,1,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,82.5
6/20/2019,BAL,8,15,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,43.5
6/20/2019,CHA,5,2,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,20,30
7/10/2019,WLR,1,20,29,0,1,4,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,82,123
7/10/2019,WPR,0,17,61,1,0,7,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,110,165
7/10/2019,SNY,0,11,36,2,0,0,0,0,0,0,0,0,15,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,77,115.5
7/18/2019,SSH,0,25,6,14,1,4,0,0,0,0,0,0,11,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,71,106.5
7/18/2019,DGM,0,42,2,1,0,1,0,0,0,0,0,0,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,64,96
7/18/2019,BFB,2,88,5,1,5,19,0,0,0,0,0,0,34,0,0,9,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,180,270
7/25/2019,DAL,0,207,0,3,3,19,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,4,0,0,0,1,1,3,0,0,0,1,8,0,0,0,262,393
7/25/2019,BAL,0,80,8,0,2,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97,145.5
7/25/2019,CHA,0,19,4,0,5,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,52.5
8/8/2019,WLR,0,9,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,78
8/8/2019,WPR,0,15,40,1,0,6,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69,103.5
8/8/2019,SNY,0,10,19,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,43,64.5
8/22/2019,SSH,1,16,2,1,3,14,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,54,81
8/22/2019,DGM,0,7,0,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,30
8/22/2019,BFB,0,44,9,2,4,47,0,0,0,0,0,0,7,0,0,43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,165,247.5
8/14/2019,DAL,1,163,2,1,0,1836,0,0,0,0,0,0,12,0,0,34,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2060,3090
8/14/2019,BAL,3,16,4,0,0,3,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,36,54
8/14/2019,CHA,1,22,1,1,2,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,58.5
