Date,Site,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidea,Chalcidoidea,Wingless parasitoid,Pompilidae,Dryinidae,Chrysididae,Unknown wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Orius,Tingidae,Fulgoroidae,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Unknown Coleoptera,Elateridae,Buprestidae,Meloidae,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Symphyta,Trichoptera,Ephemeroptera,Lepismatidae,Neuroptera
6/5/2019,SNY,0,136,0,4,5,4,0,0,0,0,1,0,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0
6/5/2019,WPR,0,267,0,0,46,28,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,12,0,0,0,0,0,0,0,0
6/5/2019,WLR,0,85,1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
6/13/2019,BFB,3,769,0,2,25,26,0,0,0,0,0,0,6,1,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0
6/13/2019,SSH,17,343,0,0,9,32,0,0,0,0,0,0,5,0,0,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0
6/13/2019,DGM,3,738,0,0,2,36,0,0,0,0,0,1,5,0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0
6/20/2019,DAL,6,123,0,0,1,3,0,0,0,0,0,0,18,0,0,6,0,2,0,0,0,1,0,2,1,1,0,0,0,0,0,2,0,0,1,0,0,11,0,0,0,0,0,0,0,0
6/20/2019,BAL,7,103,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/20/2019,CHA,5,76,0,1,5,3,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/2019,SNY,1,82,0,1,0,12,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7/10/2019,WPR,0,55,0,0,5,11,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0
7/10/2019,WLR,2,141,1,0,2,13,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0
7/18/2019,DGM,1,346,0,3,4,13,0,0,0,0,0,0,11,2,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,30,0,0,0,0,0,0,0,1
7/18/2019,SSH,6,270,1,1,10,33,0,0,1,0,1,0,20,0,0,38,28,22,0,0,0,6,0,1,0,1,0,0,1,0,0,6,0,0,0,1,0,33,2,0,0,0,0,0,0,0
7/18/2019,BFB,0,1041,0,3,6,35,0,0,0,0,0,0,12,1,1,14,24,1,0,1,0,0,0,0,0,0,0,0,1,0,12,3,0,0,0,1,0,15,0,0,0,0,0,0,0,0
7/25/2019,CHA,0,86,0,0,2,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,20,0,0,0,0,0,0,0,0
7/25/2019,BAL,0,218,0,0,8,40,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,1,4,0,0
7/25/2019,DAL,2,505,1,0,4,32,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,11,1,14,0,0,6,0,3,6,2,0,0,9,0,13,0,0,0,0,0,0,0,0
8/8/2019,WPR,0,54,0,0,9,38,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0,6,0,4,0,0,0,0,1,0,0,1,0,0,0,0,2,7,3,0,0,0,1,0,0,0
8/8/2019,WLR,0,26,0,0,0,20,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0
8/8/2019,SNY,0,40,0,0,4,16,0,0,0,0,2,0,2,0,0,3,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
8/14/2019,CHA,0,41,1,0,0,9,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,6,0,0,0,0,0,0,0,0
8/14/2019,BAL,0,69,0,0,5,16,0,0,0,0,0,1,1,0,0,41,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
8/14/2019,DAL,1,268,0,0,2,4092,0,0,0,0,0,0,8,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,7,0,0,0,0,0,0,0,0
8/22/2019,SSH,0,115,0,1,5,38,0,0,0,0,1,0,9,0,0,1799,34,1,0,0,0,5,0,0,1,0,1,0,20,0,0,3,0,0,0,1,0,24,0,0,0,0,0,0,0,0
