Sample,Date,Replicate,Site,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Trichoptera,Ephemeroptera,Zygentoma,Neuroptera
C1,6/5/2019,A,SNY,42,6,2,1,0,0,0,0,0,0,0,0,0,0
C2,6/5/2019,B,SNY,38,5,2,0,0,0,5,0,0,0,0,0,0,0
C3,6/5/2019,C,SNY,26,2,2,0,0,0,5,0,0,0,0,0,0,0
C4,6/5/2019,D,SNY,30,1,1,0,0,0,0,0,0,0,0,0,0,0
C5,6/5/2019,A,WPR,60,6,1,1,0,0,0,0,0,0,0,0,0,0
C6,6/5/2019,B,WPR,29,5,1,0,0,0,0,0,0,0,0,0,0,0
C7,6/5/2019,C,WPR,26,9,0,0,0,0,4,0,0,0,0,0,0,0
C8,6/5/2019,D,WPR,47,42,0,1,0,0,6,0,0,0,0,0,0,0
C9,6/5/2019,E,WPR,105,12,4,0,0,0,2,0,0,0,0,0,0,0
C10,6/5/2019,A,WLR,13,2,0,0,0,0,11,0,0,0,0,0,0,0
C11,6/5/2019,B,WLR,15,11,0,0,0,0,4,0,0,0,0,0,0,0
C12,6/5/2019,C,WLR,38,3,0,0,0,0,0,0,0,0,0,0,0,0
C13,6/5/2019,D,WLR,19,2,0,0,0,0,0,0,0,0,0,0,0,0
C23,6/13/2019,A,BFB,87,2,1,0,0,0,0,0,0,0,0,0,0,0
C25,6/13/2019,B,BFB,144,11,1,0,0,0,0,0,0,0,0,0,0,0
C28,6/13/2019,C,BFB,122,7,1,0,0,0,1,0,0,0,0,0,0,0
C37,6/13/2019,A,SSH,87,20,2,2,0,0,0,0,0,0,0,0,0,0
C39,6/13/2019,B,SSH,48,6,2,1,0,0,0,0,0,0,0,0,0,0
C40,6/13/2019,C,SSH,66,2,1,0,0,0,0,0,0,0,0,0,0,0
C24,6/13/2019,D,BFB,125,10,6,0,0,0,4,0,0,0,0,0,0,0
C26,6/13/2019,E,BFB,76,15,5,0,0,0,5,0,0,0,0,0,0,0
C27,6/13/2019,F,BFB,106,8,1,1,0,0,1,0,0,0,0,0,0,0
C29,6/13/2019,G,BFB,112,0,1,0,0,0,1,0,0,0,0,0,0,0
C36,6/13/2019,D,SSH,64,4,1,0,1,0,3,0,0,0,0,0,0,0
C38,6/13/2019,E,SSH,44,6,3,1,1,0,0,0,0,0,0,0,0,0
C41,6/13/2019,F,SSH,51,3,2,0,0,0,0,0,0,0,0,0,0,0
C48,6/20/2019,A,DAL,28,1,9,0,0,0,0,0,0,0,0,0,0,0
C51,6/20/2019,B,DAL,31,1,8,0,0,0,5,0,0,0,0,0,0,0
C55,6/20/2019,A,BAL,45,1,1,0,0,0,0,0,0,0,0,0,0,0
C57,6/20/2019,B,BAL,32,0,3,2,0,0,0,0,0,0,0,0,0,0
C49,6/20/2019,C,DAL,41,1,0,0,0,0,1,0,0,0,0,0,0,0
C50,6/20/2019,D,DAL,29,1,10,5,0,0,5,0,0,0,0,0,0,0
C52,6/20/2019,A,CHA,26,5,0,0,0,0,0,0,0,0,0,0,0,0
C53,6/20/2019,B,CHA,31,2,4,0,0,0,0,0,0,0,0,0,0,0
C54,6/20/2019,C,CHA,24,2,4,0,0,0,0,0,0,0,0,0,0,0
C56,6/20/2019,C,BAL,33,1,2,0,0,0,0,0,0,0,0,0,0,0
C58,7/10/2019,A,SNY,33,2,2,2,0,0,0,0,0,0,0,0,0,0
C59,7/10/2019,B,SNY,18,4,3,4,0,0,0,0,0,0,0,0,0,0
C60,7/10/2019,C,SNY,11,1,1,1,0,0,0,0,0,0,0,0,0,0
C61,7/10/2019,D,SNY,21,6,5,1,0,0,0,0,0,0,0,0,0,0
C63,7/10/2019,A,WPR,27,6,2,2,0,0,4,0,0,0,0,0,0,0
C64,7/10/2019,B,WPR,6,4,1,2,0,0,0,0,0,0,0,0,0,0
C65,7/10/2019,C,WPR,22,6,2,1,0,0,1,0,0,0,0,0,0,0
C67,7/10/2019,A,WLR,33,1,2,1,0,0,2,0,0,0,0,0,0,0
C62,7/10/2019,D,WPR,15,6,4,1,0,0,5,0,0,0,0,0,0,0
C66,7/10/2019,B,WLR,24,2,2,0,0,0,8,0,0,0,0,0,0,0
C68,7/10/2019,C,WLR,38,3,0,0,0,0,0,0,0,0,0,0,0,0
C69,7/10/2019,D,WLR,33,4,1,1,0,0,3,0,0,0,0,0,0,0
C73,7/18/2019,A,DGM,74,3,2,1,0,0,6,0,0,0,0,0,0,0
C75,7/18/2019,B,DGM,54,3,4,0,0,0,3,0,0,0,0,0,0,0
C77,7/18/2019,C,DGM,58,1,2,1,0,0,12,0,0,0,0,0,0,0
C74,7/18/2019,D,DGM,57,9,5,0,0,1,0,0,0,0,0,0,0,0
C76,7/18/2019,E,DGM,48,2,9,1,0,0,2,0,0,0,0,0,0,0
C78,7/18/2019,F,DGM,56,2,2,0,0,0,7,0,0,0,0,0,0,1
C79,7/25/2019,A,CHA,27,5,1,1,0,0,3,0,0,0,0,0,0,0
